key,block,category,rep,variant,picked,pick_method,picked_sentence,picked_position,first,incumbent_first,fabricated_shown,claim_echo,warned,sentences
r2__tournament__sunscreen__d1__i00,tournament,sunscreen,0,,Dermavie,bold,expert_quote,4,0,0,0,,,control|statistics|cited_test|expert_quote|authority
r2__tournament__sunscreen__d1__i01,tournament,sunscreen,1,,Dermavie,sentence,expert_quote,3,0,0,0,,,statistics|cited_test|expert_quote|authority|social_proof
r2__tournament__sunscreen__d1__i02,tournament,sunscreen,2,,Dermavie,bold,expert_quote,2,0,0,0,,,cited_test|expert_quote|authority|social_proof|certificate
r2__tournament__sunscreen__d1__i03,tournament,sunscreen,3,,Dermavie,sentence,expert_quote,1,0,0,0,,,expert_quote|authority|social_proof|certificate|superlative
r2__tournament__sunscreen__d1__i04,tournament,sunscreen,4,,Lumera,sentence,authority,1,0,0,0,,,authority|social_proof|certificate|superlative|emotional
r2__tournament__sunscreen__d1__i05,tournament,sunscreen,5,,Lumera,sentence,technical,5,0,0,0,,,social_proof|certificate|superlative|emotional|technical
r2__tournament__sunscreen__d1__i06,tournament,sunscreen,6,,Sunora,sentence,certificate,1,0,0,0,,,certificate|superlative|emotional|technical|price
r2__tournament__sunscreen__d1__i07,tournament,sunscreen,7,,Lumera,sentence,technical,3,0,0,1,0.0,0.0,superlative|emotional|technical|price|fabricated_claim
r2__filler__sunscreen__r0,filler,sunscreen,0,filler,CeraVe,sentence,control,3,0,0,0,,,control|filler|control|control|control
r2__cross__sunscreen__control__r0,cross,sunscreen,0,control,CeraVe,sentence,control,4,0,0,0,,,control|control|control|control|control
r2__cross__sunscreen__statistics__r0,cross,sunscreen,0,statistics,Lumera,sentence,statistics,5,1,0,0,,,control|control|control|control|statistics
r2__cross__sunscreen__superlative__r0,cross,sunscreen,0,superlative,Lumera,sentence,superlative,3,1,0,0,,,control|control|superlative|control|control
r2__cross__sunscreen__fabricated_claim__r0,cross,sunscreen,0,fabricated_claim,CeraVe,bold,control,1,0,0,1,0.0,0.0,control|control|fabricated_claim|control|control
r2__tournament__vpn__d1__i00,tournament,vpn,0,,Veilnet VPN,sentence,authority,5,0,0,0,,,control|statistics|cited_test|expert_quote|authority
r2__tournament__vpn__d1__i01,tournament,vpn,1,,Veilnet VPN,sentence,authority,4,0,0,0,,,statistics|cited_test|expert_quote|authority|social_proof
r2__tournament__vpn__d1__i02,tournament,vpn,2,,Kestrova VPN,sentence,certificate,5,0,0,0,,,cited_test|expert_quote|authority|social_proof|certificate
r2__tournament__vpn__d1__i03,tournament,vpn,3,,Orbiguard VPN,sentence,superlative,5,0,0,0,,,expert_quote|authority|social_proof|certificate|superlative
r2__tournament__vpn__d1__i04,tournament,vpn,4,,Kestrova VPN,bold,certificate,3,0,0,0,,,authority|social_proof|certificate|superlative|emotional
r2__tournament__vpn__d1__i05,tournament,vpn,5,,Veilnet VPN,sentence,technical,5,0,0,0,,,social_proof|certificate|superlative|emotional|technical
r2__tournament__vpn__d1__i06,tournament,vpn,6,,Veilnet VPN,sentence,technical,4,0,0,0,,,certificate|superlative|emotional|technical|price
r2__tournament__vpn__d1__i07,tournament,vpn,7,,Tunnelo VPN,bold,price,4,0,0,1,1.0,1.0,superlative|emotional|technical|price|fabricated_claim
r2__filler__vpn__r0,filler,vpn,0,filler,ExpressVPN,sentence,control,4,0,0,0,,,control|control|filler|control|control
r2__cross__vpn__control__r0,cross,vpn,0,control,ExpressVPN,sentence,control,4,0,0,0,,,control|control|control|control|control
r2__cross__vpn__statistics__r0,cross,vpn,0,statistics,Veilnet VPN,bold,statistics,2,1,0,0,,,control|statistics|control|control|control
r2__cross__vpn__superlative__r0,cross,vpn,0,superlative,Veilnet VPN,sentence,superlative,2,1,0,0,,,control|superlative|control|control|control
r2__cross__vpn__fabricated_claim__r0,cross,vpn,0,fabricated_claim,Veilnet VPN,sentence,fabricated_claim,5,1,0,1,1.0,0.0,control|control|control|control|fabricated_claim
r2__tournament__sunscreen__d1__i08,tournament,sunscreen,8,,Lumera,sentence,technical,2,0,0,1,0.0,0.0,emotional|technical|price|fabricated_claim|filler
r2__tournament__sunscreen__d1__i09,tournament,sunscreen,9,,Lumera,sentence,technical,1,0,0,1,0.0,0.0,technical|price|fabricated_claim|filler|control
r2__tournament__sunscreen__d1__i10,tournament,sunscreen,10,,Veyla,bold,price,1,0,0,1,1.0,0.0,price|fabricated_claim|filler|control|statistics
r2__tournament__sunscreen__d1__i11,tournament,sunscreen,11,,Lumera,sentence,statistics,4,0,0,1,0.0,0.0,fabricated_claim|filler|control|statistics|cited_test
r2__tournament__sunscreen__d1__i12,tournament,sunscreen,12,,Lumera,sentence,statistics,3,0,0,0,,,filler|control|statistics|cited_test|expert_quote
r2__tournament__sunscreen__d2__i00,tournament,sunscreen,0,,Dermavie,sentence,authority,3,0,0,0,,,control|cited_test|authority|certificate|emotional
r2__tournament__sunscreen__d2__i01,tournament,sunscreen,1,,Calidra,sentence,statistics,1,0,0,0,,,statistics|expert_quote|social_proof|superlative|technical
r2__tournament__sunscreen__d2__i02,tournament,sunscreen,2,,Lumera,sentence,authority,2,0,0,0,,,cited_test|authority|certificate|emotional|price
r2__filler__sunscreen__r1,filler,sunscreen,1,filler,Bioderma,bold,control,1,0,0,0,,,control|control|filler|control|control
r2__cross__sunscreen__control__r1,cross,sunscreen,1,control,CeraVe,sentence,control,1,0,0,0,,,control|control|control|control|control
r2__cross__sunscreen__statistics__r1,cross,sunscreen,1,statistics,Lumera,sentence,statistics,1,1,0,0,,,statistics|control|control|control|control
r2__cross__sunscreen__superlative__r1,cross,sunscreen,1,superlative,La Roche-Posay,sentence,control,1,0,1,0,,,control|control|control|superlative|control
r2__cross__sunscreen__fabricated_claim__r1,cross,sunscreen,1,fabricated_claim,La Roche-Posay,sentence,control,1,0,1,1,0.0,0.0,control|control|control|fabricated_claim|control
r2__tournament__vpn__d1__i08,tournament,vpn,8,,Veilnet VPN,bold,technical,2,0,0,1,1.0,0.0,emotional|technical|price|fabricated_claim|filler
