feature,en/editors,en/hosting,en/travel,en/vpn,tr/cosmetics,tr/vpn,up,down,flat,mean_effect,median_shap_share,shap_sign_agrees,lodo_pr_auc_drop,stability,mean_matched_effect,stability_matched
in_search_results,↑,↑,↑,↑,↑,↑,6,0,0,0.6136443014021129,0.04141185153839282,0.6666666666666666,0.04307269108527577,strong,0.6136443014021129,strong
n_results_mentioning,↑,↑,↑,↑,↑,↑,6,0,0,0.5709939632224403,0.15121305894422696,1.0,0.11597597726564153,strong,0.5709939632224403,strong
best_position,↑,↑,↑,↑,→,↑,5,0,1,0.38613683148137934,0.07825846797024978,0.6666666666666666,-0.0011511752076183341,strong,0.027864937656521732,weak
n_official,↑,↑,↑,↑,→,↑,5,0,1,0.14006911385346776,0.008650501756467668,0.8333333333333334,0.0018838173727759588,strong,0.013501474874127228,moderate
n_editorial,↑,→,→,↑,↓,↑,3,1,2,0.1865882735052861,0.0179160246933664,0.8333333333333334,-0.003977739255769673,conflicting,-0.09116354285615184,moderate
n_affiliate,↑,↑,→,↑,→,↑,4,0,2,0.1923391560930756,0.007927335699853141,0.5,-0.0014872998732250546,strong,-0.008760906870340214,weak
n_forum,↑,↑,↑,↑,↑,↑,6,0,0,0.3522653315044022,0.019285399863041446,1.0,-0.00041257030245270276,strong,0.04178588398365745,conflicting
n_retailer,→,→,↑,→,↑,→,2,0,4,0.03347520947833884,0.0,0.16666666666666666,4.188274300330012e-06,moderate,0.0031153116938713466,weak
n_unknown,↑,↑,↑,↑,↑,↑,6,0,0,0.36713028170821554,0.03835205232324478,0.8333333333333334,0.0001768611031289503,strong,0.04380280832560135,weak
lex_authority,↑,↑,→,↑,→,↑,4,0,2,0.09330966391866168,0.0014170717547703367,0.16666666666666666,-0.0006113214570324099,strong,-0.004228918734206461,moderate
lex_social_proof,↑,↑,↑,↑,→,→,4,0,2,0.03986789745883023,0.002697014740304172,0.6666666666666666,0.0013469904207086825,strong,0.005165848359040118,weak
lex_specificity,↑,↑,↑,↑,→,↑,5,0,1,0.10723114993219358,0.0035231246309213797,0.5,-0.0023749147840072815,strong,0.028814968609042108,moderate
lex_hedging,↑,↑,↑,↑,→,→,4,0,2,0.05582332837106427,0.001270623588431244,0.5,-0.000533465595596296,strong,0.0037198730063960207,weak
lex_superlative,↓,↓,→,↓,↑,↓,1,4,1,-0.1541823309095165,0.01630628481890955,0.8333333333333334,-0.000657144712934497,conflicting,-0.13150272994297207,conflicting
snippet_words,→,↑,→,↑,→,↑,3,0,3,0.19461306498341466,0.24054230722746217,0.8333333333333334,0.07572049457637438,moderate,0.15410928455225137,moderate
snippet_has_year,↑,↑,↑,↑,→,↑,5,0,1,0.1513223106003043,0.0072713230229296735,0.6666666666666666,-0.0007039583281485499,strong,0.011432665868819964,conflicting
snippet_digit_share,↓,↓,→,→,→,↑,1,2,3,0.015225596016283515,0.033363511354865455,0.5,-0.0004466651233590395,conflicting,-0.029930028242394238,conflicting
