feature,en/editors,en/hosting,en/travel,en/vpn,tr/cosmetics,tr/vpn,up,down,flat,mean_effect,median_shap_share,shap_sign_agrees,lodo_pr_auc_drop,stability,mean_matched_effect,stability_matched
in_search_results,↑,↑,↑,↑,·,↑,5,0,0,0.6412311099799416,0.0,0.0,0.0,strong,0.6412311099799416,strong
n_results_mentioning,↑,↑,↑,↑,·,↑,5,0,0,0.7485065762097406,0.1450715758549975,1.0,0.1011536575565829,strong,0.7485065762097406,strong
best_position,↑,↑,↑,↑,·,↑,5,0,0,0.5042946526063884,0.17424687543179218,1.0,0.01869899327166749,strong,0.18418420405093724,weak
n_official,→,↑,↓,↑,·,↑,3,1,1,0.12540229961392457,0.008283852891773845,0.6,-0.0016102472637216276,conflicting,-0.07678520171581282,moderate
n_editorial,↑,→,→,↑,·,↑,3,0,2,0.3703241051705923,0.01625259293388577,0.8,-0.014884096605552196,moderate,-0.006823762155202903,weak
n_affiliate,↑,↑,↑,↑,·,↑,5,0,0,0.28290364134375273,0.005859906661089671,0.8,-0.0011688153249515578,strong,-0.027180678558137984,weak
n_forum,↑,↑,↑,↑,·,→,4,0,1,0.5881247821349315,0.029610229505685464,1.0,0.031009110728346424,strong,0.15446396628046746,weak
n_retailer,→,→,→,→,·,→,0,0,5,0.014226716361270353,0.0,0.2,-9.906160486891635e-06,weak,-0.011912954243631535,weak
n_unknown,↑,↑,↑,↑,·,↑,5,0,0,0.5115528553281474,0.020179257751402252,0.8,0.003612017992472817,strong,-0.061679928060449155,weak
lex_authority,↑,→,→,↑,·,↑,3,0,2,0.15006644662870564,0.004533467015757407,0.6,-0.0030064196812801514,moderate,0.004069856754943746,weak
lex_social_proof,↑,→,→,→,·,→,1,0,4,0.09367803861476394,0.0014645343310183585,0.2,-0.016485852507375418,weak,-4.892730641143511e-06,weak
lex_specificity,↑,↑,→,↑,·,→,3,0,2,0.1094145543654943,0.0037655124453414403,0.2,0.0017400509167273027,moderate,-0.005552809604412219,weak
lex_hedging,↑,→,↑,↑,·,→,3,0,2,0.07083059520136661,0.002028641134767711,0.2,-0.0013986690770067998,moderate,0.04400763383892998,weak
lex_superlative,→,↓,↓,→,·,↓,0,3,2,-0.1640091634160595,0.031062108035541505,0.6,-0.007558873276829846,moderate,-0.08204700524589056,conflicting
snippet_words,↑,→,↑,↑,·,↑,4,0,1,0.2568151814142428,0.05049148309238791,1.0,0.03158860565067355,strong,0.28829401067075616,moderate
snippet_has_year,↑,↑,↑,↑,·,↑,5,0,0,0.18187306996460656,0.004578754631715906,0.4,0.002648731735922669,strong,0.03326817825315659,weak
snippet_digit_share,→,→,→,→,·,→,0,0,5,-0.0185831574198648,0.05791071098706316,1.0,0.011377330179518244,weak,-0.022294454844737688,weak
